ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,atr_pct,normalized_move,move_magnitude,move_class
MIST,2025-04-11,Gainer,2.8,0.77,Clinical Data,No clinical trial data or results for the MIST phase 2b trial of AP01 in progressive pulmonary fibrosis were announced on or around 2025-04-11; available information consists only of the study protocol published in late 2025 and ongoing recruitment details.,AP01 (inhaled pirfenidone),NCT06329401,Progressive Pulmonary Fibrosis,Phase 2b,False,,,Unclear,No clinical trial data or results released; trial is ongoing with recruitment as of late 2024/early 2025.,"A Randomized, Double-Blind, Placebo-Controlled, Phase 2b Study Evaluating the Safety and Efficacy of Pirfenidone Solution for Inhalation (AP01) in Participants With PPF",PHASE2,375.0,Progressive Pulmonary Fibrosis,RECRUITING,Avalyn Pharma Inc.,RANDOMIZED,2027-06,144.79,1.7,82.58,22.0,0.11,0.42,6.6,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,34.51,0.08,Low,Low
KALA,2025-10-01,Loser,-11.11,1.36,Clinical Data,"KALA BIO announced topline results from the CHASE Phase 2b clinical trial of KPI-012 on or around early October 2025, reporting that it missed the primary endpoint and key secondary endpoints, leading to discontinuation of development.[3]",KPI-012,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,True,Company stated CHASE Phase 2b could potentially serve as the first of two pivotal studies required for BLA submission if positive[5],,No,Did not meet primary endpoint of complete healing of PCED at Week 8 as measured by corneal fluorescein staining[1][3][4],A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,157.22,0.07,Low,Low
VKTX,2025-08-19,Loser,-42.12,24.36,Clinical Data,"Viking Therapeutics announced mid-stage trial results for oral VK2735 showing statistically significant 12.2% mean body weight reduction versus placebo, but the stock fell 37.82% due to a 28% discontinuation rate (versus 18% placebo) driven primarily by gastrointestinal adverse events.",VK2735,NCT06068946,Obesity and metabolic disorders,Phase 2,False,,,Yes,12.2% mean body weight reduction from baseline after 13 weeks (oral formulation),"A Phase 2 Randomized, Double-Blind, Placebo-Controlled, 13-week Study of VK2735 for Weight Management in Subjects Who Are Obese, or Overweight With at Least One Weight-related Comorbid Condition",PHASE2,176.0,Weight Loss,COMPLETED,"Viking Therapeutics, Inc.",RANDOMIZED,2024-02-27,2850.0,78.25,762.0,18.0,12.4,78.2,92.5,Buy,0.91,,2026-01-21T14:54:03.014373,True,True,5.38,7.83,High,High
PRTA,2025-05-27,Loser,-30.4,4.58,Clinical Data,"Prothena announced discontinuation of birtamimab development after the phase 3 AFFIRM-AL study failed to meet its primary endpoint of all-cause mortality or cardiovascular hospitalization in patients with newly diagnosed, treatment-naive Mayo Stage IV(S) AL amyloidosis.",birtamimab,NCT04131309,AL amyloidosis,Phase 3,True,late-stage AFFIRM-AL clinical study,https://ir.prothena.com/news-releases/news-release-details/prothena-announces-topline-results-phase-3-affirm-al-study,No,,Phase 2 Study of Daratumumab Monotherapy in Previously Untreated Patients With Stage 3B Light Chain (AL) Amyloidosis,PHASE2,40.0,"Light Chain (AL) Amyloidosis, Stage 3B",COMPLETED,Stichting European Myeloma Network,,2025-01-27,245.3,2.87,128.5,18.0,3.2,72.4,8.5,Buy,1.0,,2026-01-21T15:08:20.077863,True,True,9.43,3.22,High,High
KROS,2024-12-16,Gainer,3.13,19.42,Clinical Data,"Keros Therapeutics (KROS) presented clinical data from its elritercept Phase 2 trial in MDS and MF patients on or around December 2024, showing durable transfusion independence, fatigue improvements, spleen volume reductions, and good tolerability, with plans for Phase 3.[1][2]",elritercept,NCT06499285,Myelodysplastic Syndromes,Phase 2,False,,,Unclear,"Phase 2 trial showed durable increases in hemoglobin, improvements in platelets and neutrophils, decreases in ferritin and hepcidin, transfusion independence, fatigue improvements, and spleen volume reductions in lower-risk MDS patients.","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Elritercept (KER-050) for the Treatment of Transfusion-Dependent Anemia in Adult Participants With Very Low-, Low-, or Intermediate-Risk Myelodysplastic Syndromes (MDS) (RENEW)",PHASE3,225.0,Myelodysplastic Syndromes,RECRUITING,Takeda,RANDOMIZED,2028-05-01,493.55,16.2,693.47,,0.14,0.67,23.0,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,38.02,0.08,Low,Low
VYNE,2025-07-31,Loser,-8.04,0.37,Clinical Data,"VYNE Therapeutics announced topline results from its Phase 2b trial of repibresib gel in nonsegmental vitiligo on July 30, 2025, which missed primary and key secondary endpoints but showed some positive signals in secondary measures at the highest dose; the company terminated the trial extension.[1][2]",Repibresib,,nonsegmental vitiligo,Phase 2b,False,,,No,Failed to meet primary endpoint of proportion of subjects achieving >50% improvement in facial vitiligo score and key secondary endpoint of >75% improvement.,,,,,,,,,19.8,0.59,32.7,10.0,0.02,0.27,2.0,none,0.55,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,10.75,0.75,Low,Low
MIST,2024-03-14,Loser,-2.07,1.42,Clinical Data,,AP01 (inhaled pirfenidone),NCT06951217,Progressive Pulmonary Fibrosis,Phase 2b,False,,,Unclear,No data released around 2024-03-14; MIST trial initiated September 2024 with primary endpoint of change from baseline in FVC at Week 52.,"A Multinational, Long-Term, Safety and Tolerability, Open-Label Extension Study of Subjects Who Have Participated in Avalyn Pharma Studies of Inhaled Antifibrotic Agents (AP-LTE-008 [SAIL])",PHASE2,340.0,Progressive Pulmonary Fibrosis; Idiopathic Pulmonary Fibrosis (IPF),RECRUITING,Avalyn Pharma Inc.,,2031-12-31,144.79,1.7,82.58,22.0,0.11,0.42,6.6,none,0.73,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,15.04,0.14,Low,Low
ZNTL,2024-06-28,Loser,-2.62,4.09,Clinical Data,The FDA placed a partial clinical hold on three azenosertib studies in June 2024 following the deaths of two trial participants in the ovarian cancer study due to presumed blood-related infection.,azenosertib,NCT05128825,Platinum-resistant ovarian cancer (PROC) and other gynecological cancers including high-grade serous ovarian cancer,Phase 1/Phase 2,True,"DENALI Part 2 is registration-intent with topline data expected by end of 2026, designed to support FDA approval",,Unclear,DENALI Part 1b showed objective response rate of approximately 35% and median duration of response of 6.3 months in platinum-resistant ovarian cancer patients; Part 2 registration-intent data pending by end of 2026[2],"A Phase 2 Open-Label, Multicenter Study To Evaluate Efficacy And Safety Of ZN-c3 In Subjects With High-Grade Serous Ovarian, Fallopian Tube, Or Primary Peritoneal Cancer (DENALI / ZN-c3-005 / GOG-3066)",PHASE2,170.0,"High-Grade Serous Ovarian, Fallopian Tube or Primary Peritoneal Cancer",RECRUITING,"K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals, Inc",RANDOMIZED,2026-12-01,156.7,2.42,280.7,25.0,0.08,0.57,5.31,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,23.96,0.11,Low,Low
BIOA,2024-12-13,Loser,-6.75,4.28,Clinical Data,"BioAge Labs announced the discontinuation of the STRIDES Phase 2 clinical trial of azelaprag on December 6, 2024, due to observed liver transaminitis in some patients receiving the drug.",azelaprag,NCT06515418,Obesity,Phase 2,False,,,No,"Trial discontinued due to liver transaminitis observed in 11 of 204 patients receiving azelaprag, prior to topline efficacy readout.","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,43.96,0.15,Low,Low
SMMT,2024-09-09,Gainer,55.99,19.14,Clinical Data,"Summit Therapeutics announced Phase 3 trial results on September 8, 2024, showing ivonescimab achieved 11.4 months progression-free survival compared to 5.82 months for Keytruda, representing a 5.3-month improvement and 49% reduction in disease progression or death risk in advanced non-small cell lung cancer.",ivonescimab,NCT07229417,Advanced non-small cell lung cancer (PD-L1-positive),Phase 3,True,First drug to improve over the incumbent Keytruda materially in a randomized late-stage clinical trial,,Yes,11.4 months PFS vs 5.82 months for Keytruda; 49% reduction in disease progression or death risk,IvoLoC Trial: A Phase II Trial Evaluating the Efficacy of Ivonescimab in Metastatic Endocrine Refractory HR-positive HER2-negative or Triple Negative Invasive Lobular Carcinoma,PHASE2,29.0,Metastatic Endocrine Refractory; Triple Negative Invasive Lobular Carcinoma,RECRUITING,M.D. Anderson Cancer Center,,2027-09-30,2850.0,12.45,182.0,18.0,22.5,78.3,28.5,Strong Buy,0.91,Financial fetch error: Expecting value: line 1 column 1 (char 0),2026-01-21T14:48:35.602335,True,True,8.07,6.94,High,High
MRUS,2024-05-24,Gainer,36.12,59.99,Clinical Data,"Merus announced encouraging interim Phase 2 results for petosemtamab (MCLA-158) + Keytruda in first-line PD-L1-positive recurrent/metastatic HNSCC, showing median PFS of 9 months, 12-month OS rate of 79%, and better efficacy than Keytruda monotherapy.",petosemtamab (MCLA-158),NCT06525220,PD-L1-positive recurrent or metastatic head and neck squamous cell carcinoma (HNSCC),Phase 2,False,,,Unclear,"median PFS 9 months, 12-month OS 79%","A Phase 3 Randomized, Open-label Study to Evaluate the Efficacy and Safety of Petosemtamab Plus Pembrolizumab vs Pembrolizumab in First-line Treatment of Recurrent or Metastatic PD-L1+ Head and Neck Squamous Cell Carcinoma",PHASE3,500.0,Head and Neck Squamous Cell Carcinoma,RECRUITING,Merus N.V.,RANDOMIZED,2028-01,245.3,12.67,156.4,18.0,22.4,78.6,18.5,Buy,0.91,,2026-01-21T14:59:05.765615,True,True,4.22,8.56,High,High
TBIO,2025-07-22,Loser,-8.33,0.02,Clinical Data,ImmunityBio announced updated long-term (36-month) progression-free survival and bladder-sparing data from the QUILT-3.032 trial for ANKTIVA in combination with BCG in papillary-only non-muscle invasive bladder cancer (NMIBC) in their Q2 2025 earnings release.,ANKTIVA,NCT07123727,Long COVID,Phase 2,False,,,Unclear,Trial is ongoing with primary endpoint of safety (incidence of grade 3 or higher treatment-emergent adverse events and serious adverse events); no data released as of February 2026.,Single Arm Study to Evaluate the Safety of Nogapendekin Alfa Inbakicept (NAI) in Participants With Long COVID,PHASE2,40.0,Long COVID; Long COVID Syndrome; Long Covid 19,RECRUITING,"ImmunityBio, Inc.",,2026-07,0.1,0.06,4.51,2.0,0.07,0.3,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,83.33,0.1,Low,Low
SANA,2025-01-24,Loser,-3.15,3.38,Clinical Data,"Sana Biotechnology announced positive 6-month clinical results for its hypoimmune-modified pancreatic islet cell therapy (UP421) showing successful transplantation without immunosuppression, with results presented at the American Diabetes Association Annual Meeting and World Transplant Congress in early 2025.",UP421 (SC451),NCT06239636,Type 1 diabetes,Phase 1,False,,,Yes,Met primary safety endpoint with no safety issues observed following UP421 transplantation without immunosuppression.,First-in-human Safety Study of Hypoimmune Pancreatic Islet Transplantation in Adult Subjects With Type 1 Diabetes,EARLY_PHASE1,2.0,Type1diabetes,RECRUITING,Per-Ola Carlsson,,2025-05,1068.13,4.01,153.05,11.0,0.38,0.78,8.71,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,25.3,0.12,Low,Low
EDIT,2025-03-12,Gainer,2.72,1.51,Clinical Data,"No clinical trial data or results for EDIT were announced on or around March 12, 2025, based on the available search results.",,,,,False,,,Unclear,,,,,,,,,,174.74,1.79,165.65,11.0,0.12,0.54,5.43,none,0.45,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,28.6,0.1,Low,Low
FGEN,2024-07-31,Loser,-47.56,13.5,Clinical Data,"FibroGen's stock plunged 47.6% on July 31, 2024, after announcing negative topline results from a Phase 2 trial of pamrevlumab in pancreatic cancer, which failed to meet its primary endpoint.",pamrevlumab,NCT04632940,pancreatic cancer,Phase 2,False,,,No,,"A Phase 3, Randomized, Double-Blind, Trial of Pamrevlumab (FG-3019) or Placebo in Combination With Systemic Corticosteroids in Ambulatory Subjects With Duchenne Muscular Dystrophy (DMD)",PHASE3,73.0,Duchenne Muscular Dystrophy,TERMINATED,Kyntra Bio,RANDOMIZED,2023-06-12,45.2,1.23,128.5,18.0,3.45,72.8,5.5,Buy,0.91,,2026-01-21T14:51:02.999918,True,True,13.96,3.41,High,High
LXEO,2024-07-18,Loser,-2.03,11.09,Clinical Data,"Lexeo Therapeutics announced positive interim Phase 1/2 clinical trial data for LX2006 on July 15, 2024, showing reductions in left ventricular mass index and other cardiac improvements, with related news coverage on July 18, 2024.",LX2006,NCT05445323,Friedreich Ataxia Cardiomyopathy,Phase 1/2,False,,,Unclear,"Interim data showed mean reduction in left ventricular mass index of 11.4% at 12 months and 18.3% at 18 months in participants with elevated baseline levels, with improvements in other cardiac biomarkers and increased frataxin expression.",A Phase 1/2 Study of the Safety and Efficacy of LX2006 Gene Therapy in Participants With Cardiomyopathy Associated With Friedreich's Ataxia,PHASE1/PHASE2,8.0,"Friedreich Ataxia; Cardiomyopathy, Secondary",ACTIVE_NOT_RECRUITING,Lexeo Therapeutics,,2029-09,459.09,6.29,122.76,13.0,0.18,1.15,19.64,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,14.62,0.14,Low,Low
QURE,2025-11-18,Loser,-2.04,29.71,Clinical Data,"On November 18, 2025, the EHDN held a platform meeting discussing uniQure's topline results from the AMT-130 Phase I/II gene therapy trial for Huntington's disease, unpacking the outcomes following recent updates.[5]",AMT-130,NCT04120493,Huntington's Disease,Phase 1/2,True,"Company expected to submit biologics license application (BLA) in Q1 2026 based on these results, with FDA alignment on using cUHDRS as intermediate clinical endpoint for accelerated approval",,Yes,"High-dose AMT-130 achieved 75% slowing of disease progression on the composite Unified Huntington's Disease Rating Scale (cUHDRS) compared with external controls (P=0.003), meeting the primary endpoint at 36 months","A Phase 1/2, Randomized, Double-Blind, Sham Control and Open-Label Study to Explore Safety, Tolerability, and Efficacy Signals of Multiple Doses of Striatally-Administered rAAV5-miHTT Total Huntingtin Gene (HTT) Lowering Therapy (AMT-130) in Early Manifest Huntington's Disease",PHASE1/PHASE2,43.0,Huntington's Disease,ACTIVE_NOT_RECRUITING,UniQure Biopharma B.V.,NON_RANDOMIZED,2029-06,1459.49,23.43,694.24,54.0,0.19,1.02,53.03,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,21.83,0.09,Low,Low
PRAX,2025-12-05,Gainer,30.54,247.99,Clinical Data,"Praxis Precision Medicines announced positive interim results from the EMBOLD study of relutrigine in epilepsy on December 5, 2025, sparking a 29.49-30.5% stock surge amid favorable FDA meetings and promising trial outcomes.[1]",relutrigine,NCT07010471,epilepsy,Phase 3,True,,,Unclear,,"A Phase 3, Randomized, Multi-Center, Double-Blind, Placebo-Controlled Clinical Trial to Evaluate the Efficacy, Safety, Tolerability, and Pharmacokinetics of Relutrigine in Participants With DEE Followed by an Open-Label Extension",PHASE3,160.0,Developmental and Epileptic Encephalopathy 1,RECRUITING,Praxis Precision Medicines,RANDOMIZED,2026-07,8800.16,317.25,267.16,14.0,0.14,0.94,572.88,strong_buy,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:08:00.327270,True,True,8.28,3.69,High,High
KROS,2024-12-18,Loser,-4.83,17.13,Clinical Data,"Keros Therapeutics announced top-line results from the TROPOS Phase 2 trial of cibotercept in PAH on or around December 2024, including halting higher dose arms on December 12, 2024 due to pericardial effusions and full trial termination on January 15, 2025, ultimately discontinuing development in PAH.[1]",cibotercept,NCT07202000,pulmonary arterial hypertension,Phase 2,False,,,Unclear,"Trial terminated early due to pericardial effusion safety events across all dose arms, with top-line data expected in Q2 2025.","Double-blind, Prospective, Randomized, Placebo-controlled Trial to Assess if Activin Ligand-trap Biological Therapy Can Improve Exercise Capacity and Cognitive Function in Heart Failure With Preserved Ejection Fraction Compared to Placebo.",PHASE2,48.0,Heart Failure With Preserved Ejection Fraction,NOT_YET_RECRUITING,Massachusetts General Hospital,RANDOMIZED,2027-07,493.55,16.2,693.47,,0.14,0.67,23.0,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,36.3,0.13,Low,Low
FGEN,2024-04-03,Loser,-31.94,36.75,Clinical Data,"FibroGen announced topline results from the Phase 2 LUMINA-1 trial of pamrevlumab in idiopathic pulmonary fibrosis (IPF) on April 3, 2024, failing to meet the primary endpoint of change in forced vital capacity (FVC) from baseline (-82.5 mL pamrevlumab vs -89.6 mL placebo) with p=0.89, causing the stock to drop 31.9%.",pamrevlumab,NCT03910543,Idiopathic Pulmonary Fibrosis (IPF),Phase 2,False,,https://investor.fibrogen.com/news-releases/news-release-details/fibrogen-reports-topline-results-phase-2-lumina-1-clinical-trial,No,"FVC change -82.5 mL (pamrevlumab) vs -89.6 mL (placebo), p=0.89",,,,,,,,,45.2,1.23,128.5,18.0,3.45,72.8,5.5,Buy,0.82,,2026-01-21T17:34:54.502847,True,True,12.07,2.65,Medium,High
FDMT,2024-02-05,Gainer,84.62,32.29,Clinical Data,"4D Molecular Therapeutics announced positive interim Phase 2 clinical trial data for 4D-150 in wet AMD patients with severe disease activity, showing 89% reduction in standard-of-care injections and nearly two-thirds of patients injection-free over 24 weeks.[1]",4D-150,NCT05930561,wet age-related macular degeneration (wet AMD),Phase 2,False,,,Unclear,,"A Phase 2 Randomized, Active-Controlled, Double-masked Trial of Intravitreal 4D-150 Gene Therapy in Adults With Diabetic Macular Edema (SPECTRA)",PHASE2,72.0,Diabetic Macular Edema; Diabetic Retinopathy,ACTIVE_NOT_RECRUITING,4D Molecular Therapeutics,NON_RANDOMIZED,2029-02-28,285.4,12.45,142.7,18.0,15.2,68.4,18.5,Buy,0.91,Event older than 730 days: 2024-02-05; Event older than 730 days: 2024-02-05; Event older than 730 days: 2024-02-05,2026-01-21T14:43:21.781050,True,False,6.42,13.18,High,High
KALA,2025-10-02,Gainer,13.24,1.54,Clinical Data,"Kala Bio announced topline results from the CHASE Phase 2b clinical trial of KPI-012 for persistent corneal epithelial defect (PCED) around October 2025, reporting that the trial missed its primary endpoint and key secondary endpoints, leading to discontinuation of development.[2]",KPI-012,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,False,,,No,Did not meet primary endpoint of complete healing of PCED at Week 8 as measured by corneal fluorescein staining.,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,203.95,0.06,Low,Low
SNSE,2024-05-24,Loser,-45.52,15.8,Clinical Data,"Sensei Biotherapeutics presented Phase 1/2 clinical trial data for SNS-101 on May 23-24, 2024, showing only a handful of the 34 patients treated exhibited signs of improvement, causing the stock to plunge 45.5%.",SNS-101,NCT05864144,Advanced solid tumors (including microsatellite stable colorectal and endometrial tumors),Phase 1/2,False,,,No,Only a handful of 34 patients showed clinical improvement,"A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",PHASE1/PHASE2,98.0,"Solid Tumor, Adult; Advanced Solid Tumor; Head and Neck Cancer; Breast Cancer; Colon Cancer; Pancreatic Cancer; Gastric Cancer; Esophageal Cancer; Prostate Cancer; Uterine Cancer; Cervix Cancer; Ovarian Cancer; Kidney Cancer; Bladder Cancer; Thyroid Cancer; Melanoma; Sarcoma; Advanced Cancer; Metastatic Cancer; Refractory Cancer; Non Small Cell Lung Cancer; Merkel Cell Carcinoma",ACTIVE_NOT_RECRUITING,"Sensei Biotherapeutics, Inc.",NON_RANDOMIZED,2027-06,45.2,1.23,28.5,18.0,12.4,65.8,5.5,Buy,0.91,,2026-01-21T14:52:18.690699,True,True,16.91,2.69,Medium,High
SMMT,2025-04-30,Gainer,2.12,24.12,Clinical Data,"No clinical trial data or results for SMMT were announced on or around April 30, 2025; the closest announcements were HARMONi-6 topline PFS results on April 23, 2025, and HARMONi topline results in May 2025.",ivonescimab,,"EGFR-mutated, locally advanced or metastatic non-squamous non-small cell lung cancer (NSCLC) after third-generation EGFR TKI failure",Phase 3,True,HARMONi is a multiregional Phase III trial sponsored by Summit evaluating ivonescimab for potential global regulatory approval outside China[1][2][6],,Unclear,Topline PFS results announced in May 2025; 45% risk reduction in China patients (statistically significant) but only 33% in Western patients (not statistically significant)[2][5],,,,,,,,,11866.41,15.94,238.55,10.0,0.31,0.16,32.42,buy,0.55,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,16.44,0.13,Low,Low
BMEA,2025-06-18,Loser,-34.14,1.91,Clinical Data,"Biomea Fusion announced positive Phase II COVALENT-111 data for icovamenib in type 2 diabetes showing reduced hemoglobin A1c and improved beta cell function, presented in Q2 2025.",icovamenib,NCT07254286,Type 2 Diabetes,Phase 2,False,,,Yes,Reduced hemoglobin A1c and improved beta cell function,"A Phase 1 Open-Label, Randomized, Crossover Food Effect and Formulation Assessment for Icovamenib Capsule in Healthy Volunteers",PHASE1,60.0,Healthy Volunteer,ACTIVE_NOT_RECRUITING,Biomea Fusion Inc.,RANDOMIZED,2026-01,88.38,1.25,46.64,6.0,0.17,0.4,7.0,none,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:00:56.237023,True,True,13.58,2.51,Medium,High
RAPT,2024-02-28,Loser,-3.67,69.28,Clinical Data,"No clinical trial data or results were announced by RAPT on or around 2024-02-28; instead, the FDA placed clinical holds on the Phase 2 asthma and atopic dermatitis trials of zelnecirnon due to a single serious adverse event of severe liver injury.[1][2][3][4][5]",zelnecirnon,NCT04593251,atopic dermatitis,Phase 2,False,,,Unclear,"Trials were placed on clinical hold by FDA due to severe liver injury SAE and closed before completing enrollment, with no endpoint results announced.","A Multicentre, SAD, and MAD Clinical Trial to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of IV Treatment of CALY-002 in Healthy Subjects and Subjects With Celiac Disease and Eosinophilic Esophagitis",PHASE1,73.0,Eosinophilic Esophagitis; Celiac Disease,COMPLETED,Calypso Biotech BV,RANDOMIZED,2024-04-02,1677.4,57.92,157.34,21.0,0.12,1.1,58.0,hold,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,28.6,0.13,Low,Low
KYTX,2024-06-24,Gainer,2.07,7.89,Clinical Data,"On June 14, 2024, Kyverna published an investor presentation that disclosed adverse data regarding one of its clinical trials, which led to a sharp decline in the company's stock price.",KYV-101,NCT06193889,Generalized Myasthenia Gravis,Phase 2/3,True,"The Phase 3 portion is a randomized controlled trial comparing KYV-101 to standard of care with approximately 60 patients, designed to support FDA approval. KYV-101 received FDA Fast Track and Regenerative Medicine Advanced Therapy (RMAT) designations.",,Yes,"All 6 patients in the Phase 2 interim analysis achieved clinically meaningful reductions in MG-ADL (mean -8.0 points) and QMG (mean -7.7 points) at 24 weeks, with all patients achieving at least a 3-point reduction in both measures and clinically meaningful response on MGC scores (mean -12 points at 12 weeks).","KYSA-6: A Phase 2/3, Open-Label, Randomized, Controlled, Multicenter Study of KYV-101, an Autologous Fully Human Anti-CD19 Chimeric Antigen Receptor T-cell (CD19 CAR T) Therapy, Versus Ongoing Standard-Of-Care Immunosuppressive Therapy in Patients With Generalized Myasthenia Gravis",PHASE2/PHASE3,66.0,Myasthenia Gravis; Generalized Myasthenia Gravis,RECRUITING,Kyverna Therapeutics,RANDOMIZED,2027-09,457.78,7.68,171.14,13.0,0.09,0.78,29.6,strong_buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,24.81,0.08,Low,Low
ANNX,2024-06-04,Gainer,30.79,5.99,Clinical Data,"Annexon announced positive top-line results from its pivotal Phase III study of ANX005 in Guillain-Barré syndrome (GBS), where the 30 mg/kg dose met the primary endpoint with a highly statistically significant 2.4-fold improvement on the GBS-disability scale at week 8.",ANX005,NCT04569435,Guillain-Barré syndrome (GBS),Phase 3,True,pivotal phase III study,,Yes,2.4-fold improvement on the GBS-disability scale (GBS-DS) at week 8,"Phase 2a Safety, Tolerability, Pharmacokinetic (PK), and Pharmacodynamic (PD) Study of Intravenous ANX005 in Subjects With Amyotrophic Lateral Sclerosis (ALS)",PHASE2,17.0,Amyotrophic Lateral Sclerosis,COMPLETED,"Annexon, Inc.",,2024-01-10,728.88,4.89,188.72,12.0,0.14,0.82,14.33,none,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:07:40.320758,True,True,7.55,4.08,High,High
VRCA,2024-11-05,Loser,-44.2,7.98,Clinical Data,"Verrica Pharmaceuticals announced Phase II trial results for VP-315 in basal cell carcinoma showing 51% complete histologic clearance, but the stock fell 40.79% on August 14, 2024, suggesting investor disappointment with the efficacy results.",VP-315,NCT05188729,Basal Cell Carcinoma,Phase 2,False,,,Unclear,51% complete histologic clearance; 71% reduction in tumor size for residual tumors,"A Phase 2, Multicenter, Open-label, Proof-of-concept Study With Safety Run-in to Evaluate the Safety, Pharmacokinetics, and Efficacy of VP-315 in Adult Subjects With Basal Cell Carcinoma",PHASE2,92.0,"Basal Cell Carcinoma; Skin Cancer; Cancer of the Skin, Basal Cell; Cancer of the Skin; Carcinoma",COMPLETED,Verrica Pharmaceuticals Inc.,NON_RANDOMIZED,2024-04-15,28.5,1.23,42.1,18.0,3.2,45.7,5.5,Buy,0.91,,2026-01-21T14:52:54.196354,True,True,9.45,4.68,High,High
SAVA,2024-11-27,Gainer,3.92,3.98,Clinical Data,"Cassava Sciences (SAVA) announced topline results from the Phase 3 RETHINK-ALZ trial of simufilam on November 25, 2024, stating it did not meet co-primary endpoints, with plans to report REFOCUS-ALZ results in early 2025.",simufilam,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 trial under Special Protocol Assessment with FDA,,No,Did not meet co-primary endpoints of change from baseline in ADAS-COG12 and ADCS-ADL after 52 weeks.,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,103.7,0.04,Low,Low
